ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
267;Deposition of vaporized species onto glassy fallout from a near-surface nuclear test;mar-15;2017;"Weisz, DG; Jacobsen, B; (...); Hutcheon, ID";GEOCHIMICA ET COSMOCHIMICA ACTA;15;30
268;Characterization of the elemental composition of polish banknotes by X-ray fluorescence and laser-induced breakdown spectroscopy;Jul;2020;"Krol, M; Gondko, K; (...); Koscielniak, P";SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY;1;59
269;Seed-Assisted Growth of TiO2 Nanowires by Thermal Oxidation for Chemical Gas Sensing;May;2020;"Arachchige, HMMM; Zappa, D; (...); Comini, E";NANOMATERIALS;11;54
270;Defect structure process maps for laser powder bed fusion additive manufacturing;Dec;2020;"Gordon, JV; Narra, SP; (...); Rollett, AD";ADDITIVE MANUFACTURING;32;52
271;Spatio-temporal mapping of ablated species in ultrafast laser-produced graphite plasmas;may-28;2012;"Al-Shboul, KF; Harilal, SS and Hassanein, A";APPLIED PHYSICS LETTERS;31;24
272;Elemental composition of yerba mate (Ilex paraguariensis A.St.-Hil.) under low input systems of southern Brazil;sept-20;2020;"Motta, ACV; Barbosa, JZ; (...); Benedetti, EL";SCIENCE OF THE TOTAL ENVIRONMENT;6;60
273;Model of Port Management to improve the Service Quality for Passengers;Dec;2019;"Dewa, AL; Mafruhah, I; (...); Susilowati, I";QUALITY-ACCESS TO SUCCESS;1;17
274;Boosting intelligence analysts' judgment accuracy: What works, what fails?;Nov;2018;"Mandel, DR; Karvetski, CW and Dhami, MK";JUDGMENT AND DECISION MAKING;17;68
275;Structural Behavior of Ba1.24Al2.48Ti5.52O16 Hollandite at High Temperature: An In Situ Neutron Diffraction Study;Jan;2015;"Xu, HW; Costa, GCC; (...); Navrotsky, A";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;13;27
276;Fabrication of large-area hole arrays using high-efficiency two-grating interference system and femtosecond laser ablation;May;2011;"Kaakkunen, JJJ; Paivasaari, K and Vahimaa, P";APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;7;20
277;{001} Oriented piezoelectric films prepared by chemical solution deposition on Ni foils;jul-07;2014;Yeo, HG and Trolier-McKinstry, S;JOURNAL OF APPLIED PHYSICS;42;29
278;Application of UPFC to Enhancing Oscillatory Response of Series-Compensated Wind Farm Integrations;Jul;2014;"Golshannavaz, S; Aminifar, F and Nazarpour, D";IEEE TRANSACTIONS ON SMART GRID;65;25
279;Nursing management: priority areas regarding safety of professionals and clients;Jan;2020;"Correia, T; Martins, MM and Forte, E";REVISTA ROL DE ENFERMERIA;-;30
280;Conceptual model for identifying factors relevant to the safety of children in school buses;Jun;2010;"Bernal, ML; Daza, C and Rincon, O";REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH;3;40
281;Suppressing irradiation induced grain growth and defect accumulation in nanocrystalline tungsten through grain boundary doping;Mar;2021;"Cunningham, WS; Hattar, K; (...); Trelewicz, JR";ACTA MATERIALIA;14;78
282;Background gas collisional effects on expanding fs and ns laser ablation plumes;Oct;2014;"Harilal, SS; Farid, N; (...); Hassanein, A";APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING;55;35
283;Measurement of the Am-240 production cross section via proton irradiation of Pu-242;Jul;2014;"Ellison, PA; McLaughlin, JP; (...); Nitsche, H";RADIOCHIMICA ACTA;1;40
284;Anomalous Oxidative Diffusion in Titanium Pyrotechnic Powders;Mar;2017;Erikson, WW and Coker, EN;PROPELLANTS EXPLOSIVES PYROTECHNICS;2;13
285;Profiling and catalytic upgrading of commercial palm oil-derived biodiesel fuels for high-blend fuels;jul-15;2019;"Chen, SY; Attanatho, L; (...); Yoshimura, Y";CATALYSIS TODAY;12;27
286;Thallium contamination, health risk assessment and source apportionment in common vegetables;feb-10;2020;"Liu, J; Wei, XD; (...); Chen, DY";SCIENCE OF THE TOTAL ENVIRONMENT;40;66
287;Professional and Personal Qualities of the Teacher in the Context of the Psychological Safety of Educational Environment;Dec;2017;Kulikova, TI and Maliy, DV;EUROPEAN JOURNAL OF CONTEMPORARY EDUCATION;3;12
288;A promising crop for cadmium-contamination remediation: Broomcorn millet;Nov;2021;"Liu, JJ; Zhang, DZ; (...); Feng, BL";ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;1;43
289;Impacts of Urban Terror Attacks on Turkish Mothers' Daily Experiences;Jun;2022;Gokyar, M and Erdur-Baker, O;JOURNAL OF INTERPERSONAL VIOLENCE;-;39
290;Impact of the Boston Marathon Bombing and Its Aftermath on Refugees and Survivors of Torture;Aug;2016;"Piwowarczyk, L; Rous, D; (...); Shepherd, A";JOURNAL OF IMMIGRANT AND MINORITY HEALTH;4;15
291;In-flight performance of the Advanced Radiation Detector for UAV Operations (ARDUO);feb-21;2020;"Chen, CM; Sinclair, LE; (...); Samson, C";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;8;21
292;The impact of chemical order on defect transport in mixed pyrochlores;mar-21;2019;"Uberuaga, BP; Perriot, R and Pilania, G";PHYSICAL CHEMISTRY CHEMICAL PHYSICS;5;41
293;Synthesis and characterization of 4,4 '-methylenebis (2,6-di-tert-butylphenol) derivatives of a series of metal alkoxides and alkyls;mar-21;2012;"Boyle, TJ; Steele, LAM and Yonemoto, DT";JOURNAL OF COORDINATION CHEMISTRY;6;36
294;Unraveling the Topological Phase of ZrTe5 via Magnetoinfrared Spectroscopy;jul-24;2020;"Jiang, Y; Wang, J; (...); Jiang, Z";PHYSICAL REVIEW LETTERS;10;42
295;Expel, discipline and secure: the government of Covid-19 in Chile;jul-24;2020;Pincheira, TI;HYBRIS-REVISTA DE FILOSOFIA;-;10
296;Somatic Complaints and Attachment in Former Prisoners of War: A Longitudinal Study;Win;2015;"Lahav, Y; Rodin, R and Solomon, Z";PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES;12;41
297;Scaling behavior of ultrafast two-color terahertz generation in plasma gas targets: energy and pressure dependence;jul-05;2010;Rodriguez, G and Dakovski, GL;OPTICS EXPRESS;68;32
298;Perceptions and Barriers to SNAP Utilization Among Asian and Pacific Islanders in Greater Los Angeles;Sep;2020;"Louie, NT; Kim, LP and Chan, SE";AMERICAN JOURNAL OF HEALTH PROMOTION;-;37
299;Toward a Trust Evaluation Mechanism in the Social Internet of Things;Jun;2017;"Truong, NB; Lee, H; (...); Lee, GM";SENSORS;45;68
300;Profiling Village Chickens Predators, Parasites and Medicinal Plants Used to Control the Parasites;Jun;2021;"Ndlovu, W; Mwale, M; (...); Francis, J";BRAZILIAN JOURNAL OF POULTRY SCIENCE;-;40
301;On the fretting fatigue crack nucleation of complete, almost complete and incomplete contacts using an asymptotic method;Dec15;2021;"Panico, P; Chaise, T; (...); Poupon, C";INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES;-;57
302;Embedded Face Detection and Recognition;oct-01;2012;Gunlu, G;INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS;1;34
303;Chemically Homogeneous Complex Oxide Thin Films Via Improved Substrate Metallization;jun-06;2012;"Shelton, CT; Kotula, PG; (...); Ihlefeld, JF";ADVANCED FUNCTIONAL MATERIALS;51;38
304;An Image Sharing-based Solution for Secure Inpatient Medication Administration;Feb;2018;"Wang, WC; Ti, YW and Chen, SK";NEUROQUANTOLOGY;1;18
305;Design of an explosive detection system using Monte Carlo method;Nov;2016;"Hernandez-Adame, PL; Medina-Castro, D; (...); Vega-Carrillo, HR";APPLIED RADIATION AND ISOTOPES;8;26
306;Ultrafast Chemical Reactions in Shocked Nitromethane Probed with Dynamic Ellipsometry and Transient Absorption Spectroscopy;Apr10;2014;"Brown, KE; McGrane, SD; (...); Moore, DS";JOURNAL OF PHYSICAL CHEMISTRY A;33;55
307;Uranium detection by 3D-printed titanium structures: Towards decentralized nuclear forensic applications;Dec;2020;Urbanova, V and Pumera, M;APPLIED MATERIALS TODAY;1;67
308;The effect of work environment on the biochemical profile of workers operating at the Ust-Kamenogorsk Titanium and Magnesium Plant;Aug;2020;"Dakieva, KZ; Tsyganov, AP; (...); Chursin, AS";TOXICOLOGY AND INDUSTRIAL HEALTH;-;40
309;Improving Probability Judgment in Intelligence Analysis: From Structured Analysis to Statistical Aggregation;May;2020;"Karvetski, CW; Mandel, DR and Irwin, D";RISK ANALYSIS;5;67
310;A modified neuro-fuzzy classifier and its parallel implementation on modern GPUs for real time intrusion detection;Sep;2019;Upasani, N and Om, H;APPLIED SOFT COMPUTING;8;51
311;Development of reagents and assays for the detection of pathogenic Burkholderia species;Sep;2011;"Qazi, O; Rani, M; (...); Brown, KA";FARADAY DISCUSSIONS;3;39
312;Facile solvothermal synthesis of BiOCl-TiO2 heterostructures with enhanced photocatalytic activity;Sep;2014;"Sun, DF; Li, JP; (...); Sato, T";CRYSTENGCOMM;50;56
313;Vertical Strain-Driven Antiferromagnetic to Ferromagnetic Phase Transition in EuTiO3 Nanocomposite Thin Films;feb-19;2020;"Lin, YS; Choi, EM; (...); MacManus-Driscoll, J";ACS APPLIED MATERIALS & INTERFACES;6;57
314;Surface diffusion on SrTiO3 (100): A temperature accelerated dynamics and first principles study;Nov;2013;"Hong, MK; Wohlwend, JL; (...); Uberuaga, BP";SURFACE SCIENCE;8;50
315;Photoinduced formation of thin-film structures in titanium alkoxides via direct deposition from solution and from spin-coated solid-state precursor films;Mar;2011;"Schneider, ZV; Musgraves, JD; (...); Boyle, TJ";JOURNAL OF MATERIALS RESEARCH;-;20
316;Optimized continuum x-ray emission from laser-generated plasma;Dec21;2020;"Krygier, A; Kemp, GE; (...); Ping, Y";APPLIED PHYSICS LETTERS;4;44
317;CI-MBPT line strengths and atomic probabilities for some transitions of neutral iodine;jul-28;2020;"Filin, D; Savukov, IM and Colgan, J";JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS;2;29
318;Combined Experimental and Computational Methods Reveal the Evolution of Buried Interfaces during Synthesis of Ferroelectric Thin Films;jul-06;2015;"Jones, JL; LeBeau, JM; (...); Ihlefeld, J";ADVANCED MATERIALS INTERFACES;11;48
319;An efficient method for privacy-preserving trajectory data publishing based on data partitioning;Jul;2020;"Li, SY; Shen, H; (...); Tian, H";JOURNAL OF SUPERCOMPUTING;2;32
320;SELF-ORGANIZED STRUCTURING OF THE SURFACE OF A METAL-SEMICONDUCTOR COMPOSITE BY FEMTOSECOND LASER PROCESSING;Jul;2018;"Berezovska, N; Dmitruk, I; (...); Blonskyi, I";UKRAINIAN JOURNAL OF PHYSICS;2;30
321;Rapid and robust radioisotopes identification algorithms of X-Ray and gamma spectra;Jan15;2021;El-Tokhy, MS;MEASUREMENT;1;37
322;Measurement of temperature and density using non-collective X-ray Thomson scattering in pulsed power produced warm dense plasmas;may-30;2018;"Valenzuela, JC; Krauland, C; (...); Beg, FN";SCIENTIFIC REPORTS;7;26
323;Charge Transport and Observation of Persistent Photoconductivity in Tl(6)Sel(4) Single Crystals;Apr6;2017;"Das, S; Peters, JA; (...); Wessels, BW";JOURNAL OF PHYSICAL CHEMISTRY LETTERS;16;33
324;X-Ray Fluorescence Spectroscopy Combined With Discriminant Analysis to Identify Imported Iron Ore Origin and Brand;Aug;2020;"Zhang, B; Min, H; (...); Zhu, ZX";SPECTROSCOPY AND SPECTRAL ANALYSIS;3;10
325;Quantity and quality of jobs by entrepreneurial firms;Win;2018;"Block, JH; Fisch, CO and van Praag, M";OXFORD REVIEW OF ECONOMIC POLICY;12;54
326;Two-dimensional fluorescence spectroscopy of laser-produced plasmas;Aug1;2016;"Harilal, SS; LaHaye, NL and Phillips, MC";OPTICS LETTERS;24;24
327;Implementing the Potential of Intellectual Products' Commercialisation in the International Trading System;Aug1;2019;Volkova, TI;EKONOMIKA REGIONA-ECONOMY OF REGION;-;33
328;Study on structures and electronic properties of neutral and anionic TiSin(0,-1) (n=1-8) clusters using G4 theory;Aug;2014;"Lu, J; Yang, JC; (...); Ning, HM";JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY;6;60
329;Reactive ion-assisted deposition of e-beam evaporated titanium for high refractive index TiO2 layers and laser damage resistant, broad bandwidth, high-reflection coatings;feb-01;2014;"Bellum, J; Field, E; (...); Long, F";APPLIED OPTICS;25;7
330;Modified floating-zone crystal growth of Mg4Ta2O9 and its scintillation performance;may-28;2020;"Yuan, DS; Moretti, F; (...); Bourret, E";CRYSTENGCOMM;1;38
331;Holding a Mirror Up to Nature: Psychological Vulnerability in Actors;Nov;2012;Thomson, P and Jaque, SV;PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS;25;84
332;Consumer's welfare in the retail environment: implication for retail property development planning and policy;Sep;2021;"Gbadegesin, JT; Ojekalu, SO; (...); Omoniyi, S";INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT;-;75
333;Facilitating sender-receiver agreement in communicated probabilities: Is it best to use words, numbers or both?;Mar;2021;Mandel, DR and Irwin, D;JUDGMENT AND DECISION MAKING;3;84
334;Facile fabricate of F-doped lead dioxide electrode coating onto porous 3D titanium plate for advanced lead-carbon hybrid capacitor;Dec1;2020;"Pei, DY; Bao, JP; (...); Lu, HY";MATERIALS LETTERS;4;9
335;Detection of terahertz radiation from 2.52 THz CO2 laser using a 320 x 240 vanadium oxide microbolometer focal plane array;Dec1;2015;"Gou, J; Wang, J; (...); Jiang, YD";RSC ADVANCES;17;22
336;Angular emission of ions and mass deposition from femtosecond and nanosecond laser-produced plasmas;jun-15;2012;"Verhoff, B; Harilal, SS and Hassanein, A";JOURNAL OF APPLIED PHYSICS;53;35
337;Efficient Piezoelectric Energy Harvesters Utilizing (001) Textured Bimorph PZT Films on Flexible Metal Foils;Aug23;2016;"Yeo, HG; Ma, XK; (...); Trolier-McKinstry, S";ADVANCED FUNCTIONAL MATERIALS;87;43
338;Doped calcium manganites for advanced high-temperature thermochemical energy storage;Feb;2016;"Babiniec, SM; Coker, EN; (...); Ambrosini, A";INTERNATIONAL JOURNAL OF ENERGY RESEARCH;58;21
339;Systematic Study of Gender, Conflict, and Peace;Dec;2018;Gizelis, TI;PEACE ECONOMICS PEACE SCIENCE AND PUBLIC POLICY;3;60
340;Wavefront-correction for nearly diffraction-limited focusing of dual-color laser beams to high intensities;nov-03;2014;"Zhao, BZ; Zhang, J; (...); Umstadter, D";OPTICS EXPRESS;6;20
341;Structural evolution across the insulator-metal transition in oxygen-deficient BaTiO3-delta studied using neutron total scattering and Rietveld analysis;Aug29;2011;"Jeong, IK; Lee, S; (...); Llobet, A";PHYSICAL REVIEW B;54;19
342;Experimental capabilities of 0.4 PW, 1 shot/min Scarlet laser facility for high energy density science;jun-10;2016;"Poole, PL; Willis, C; (...); Chowdhury, EA";APPLIED OPTICS;12;28
343;Coupled thermal stress simulations of ductile tearing;Mar;2016;Dion, K and Neilsen, MK;INTERNATIONAL JOURNAL OF FRACTURE;2;11
344;Chemical homogeneity effects on the nonlinear dielectric response of lead zirconate titanate thin films;jul-30;2012;Ihlefeld, JF and Shelton, CT;APPLIED PHYSICS LETTERS;6;26
345;An Energy-Efficient Accelerator Based on Hybrid CPU-FPGA Devices for Password Recovery;Feb;2019;"Liu, P; Li, SB and Ding, QY";IEEE TRANSACTIONS ON COMPUTERS;9;23
346;Sub-micron and nanosized features in laser-induced periodic surface structures;Apr;2019;"Berezovska, N; Dmitruk, I; (...); Blonskyi, I";INDIAN JOURNAL OF PHYSICS;6;42
347;First-principle study of the properties in BaTiO3 and the electronic structure of H2O adsorption on BaTiO3;Apr15;2021;"Wang, J; Xing, ZG; (...); Wang, HD";INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY;5;24
348;Quantification of total element concentrations in soils using total X-ray fluorescence spectroscopy (TXRF);oct-01;2013;"Towett, EK; Shepherd, KD and Cadisch, G";SCIENCE OF THE TOTAL ENVIRONMENT;82;36
349;CUSTOMER LOYALTY IN THE ONLINE CONTEXT: UNDERSTANDING TRUST IN DIFFERENT PARTIES;Nov;2020;"de Matos, CA; Curth, M and Garcia, AD";JOURNAL OF ELECTRONIC COMMERCE RESEARCH;3;67
350;Real-time monitoring of laser powder bed fusion process using high-speed X-ray imaging and diffraction;jun-15;2017;"Zhao, C; Fezzaa, K; (...); Sun, T";SCIENTIFIC REPORTS;358;51
351;Proximity-induced unconventional superconductivity in topological insulators;jun-24;2013;Black-Schaffer, AM and Balatsky, AV;PHYSICAL REVIEW B;83;35
352;"Analysis of spatially resolved Z-pinch spectra to investigate the nature of ""bright spots""";Feb;2013;"Apruzese, JP; Giuliani, JL; (...); Ampleford, DJ";PHYSICS OF PLASMAS;12;40
353;Zircon age-temperature-compositional spectra in plutonic rocks;Nov;2017;"Samperton, KM; Bell, EA; (...); Schoene, B";GEOLOGY;32;26
354;A qualitative analysis of perceptions of various stakeholders on nutrition-sensitive agricultural interventions, including the taxation on sugar-sweetened beverages (SSBs), to improve overall health and nutrition in South Africa;sept-03;2020;"Kaltenbrun, TA; du Plessis, LM and Drimie, S";BMC PUBLIC HEALTH;4;45
355;Full Characterization of a Class of Graphs Tailored for Software Watermarking;Jul;2019;"Bento, LMS; Boccardo, DR; (...); Szwarcfiter, JL";ALGORITHMICA;-;27
356;MICROSTRUCTURE AND PROPERTIES OF LASER DEPOSITED AND WROUGHT ALLOY K-500 (UNS N05500);Nov-dec;2012;"Hochanadel, PW; Field, RD and Lewis, GK";WELDING IN THE WORLD;3;15
357;Genome Organization of Canada Goose Coronavirus, A Novel Species Identified in a Mass Die-off of Canada Geese;Apr11;2019;"Papineau, A; Berhane, Y; (...); Lung, O";SCIENTIFIC REPORTS;17;32
358;Quantitative analyses of postmortem heat shock protein mRNA profiles in the occipital lobes of human cerebral cortices: Implications in cause of death;Nov;2012;"Chung, U; Seo, JS; (...); Hwang, JJ";MOLECULES AND CELLS;4;52
359;Stable Sites Derived from the Tix0y-Pz Layer Boost Cubic Fe203 for Enhanced Photocatalytic N2 Reduction;nov-15;2021;"Zhang, WS; Han, DF; (...); Niu, L";ACS SUSTAINABLE CHEMISTRY & ENGINEERING;-;53
360;Influence of interfacial properties on thermal transport at gold:silicon contacts;feb-25;2013;"Duda, JC; Yang, CYP; (...); Hopkins, PE";APPLIED PHYSICS LETTERS;57;41
361;Assessing the Reliability of Mobility Interpretation From a Multi-Isotope Hair Profile on a Traveling Individual;sept-15;2020;"Hu, LH; Chartrand, MMG; (...); Bataille, CP";FRONTIERS IN ECOLOGY AND EVOLUTION;5;93
362;Benchmarking Dynamic Searchable Symmetric Encryption Scheme for Cloud-Internet of Things Applications;sept-15;2020;"Ti, YW; Wu, CF; (...); Kuo, Y";IEEE ACCESS;2;27
363;Composition dependence of local piezoelectric nonlinearity in (0.3)Pb(Ni0.33Nb0.67)O-3-(0.7)Pb(ZrxTi1-x)O-3 films;Aug15;2011;"Griggio, F; Jesse, S; (...); Trolier-McKinstry, S";JOURNAL OF APPLIED PHYSICS;6;58
364;Ultrafast Laser Filament-induced Fluorescence Spectroscopy of Uranyl Fluoride;Aug2;2018;"Skrodzki, PJ; Burger, M; (...); Jovanovic, I";SCIENTIFIC REPORTS;6;49
365;Application of trace element and stable isotope signatures to determine the provenance of tea (Camellia sinensis) samples;feb-15;2010;"Pilgrim, TS; Watling, RJ and Grice, K";FOOD CHEMISTRY;110;27
366;Multiple-point geostatistical simulation for mine evaluation with aeromagnetic data;feb-15;2018;"Hong, J; Oh, S and Cho, SJ";EXPLORATION GEOPHYSICS;3;37
367;The influence of impurities on the crystal structure and mechanical properties of additive manufactured U-14 at.% Nb;mar-15;2017;"Wu, AS; Brown, DW; (...); Elmer, JW";SCRIPTA MATERIALIA;11;18
368;SER: Secure and efficient retrieval for anonymous range query in wireless sensor networks;Aug1;2017;"Tsou, YT; Lu, CS and Kuo, SY";COMPUTER COMMUNICATIONS;14;31
369;Continuum Source Tungsten Coil Atomic Fluorescence Spectrometry;Apr;2011;"Gu, JY; Donati, GL; (...); Jones, BT";APPLIED SPECTROSCOPY;6;21
370;Disclosing small scale length properties in core-shell structured B4C-TiB2 composites;Jan1;2021;"Silvestroni, L; Failla, S; (...); Sciti, D";MATERIALS & DESIGN;4;51
371;Computational Dissection of Two-Dimensional Rectangular Titanium Mononitride TiN: Auxetics and Promises for Photocatalysis;Jul;2017;"Zhou, LJ; Zhuo, ZW; (...); Tretiak, S";NANO LETTERS;76;53
372;Activity and SO2 resistance of amorphous CeaTiOx catalysts for the selective catalytic reduction of NO with NH3: in situ DRIFT studies;Jul;2016;"Zhang, ZP; Chen, LQ; (...); Zhu, YJ";CATALYSIS SCIENCE & TECHNOLOGY;70;70
373;Titanium tritide radioisotope heat source development: Palladium-coated titanium hydriding kinetics and tritium loading tests;Dec;2012;"Shugard, AD; Walters, RT and Van Blarigan, P";ENERGY CONVERSION AND MANAGEMENT;4;32
374;Bumps in the Road to IFRS Adoption: Is a U-Turn Possible?;Mar;2013;Selling, TI;ACCOUNTING HORIZONS;8;17
375;Sensitivity analysis of flood damage estimates: A case study in Fredericton, New Brunswick;Dec;2015;"McGrath, H; Stefanakis, E and Nastev, M";INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION;20;23
376;A Gendered Imperative: Does Sexual Violence Attract UN Attention in Civil Wars?;Jan;2020;Benson, M and Gizelis, TI;JOURNAL OF CONFLICT RESOLUTION;7;73
377;Electronic structures and optical properties of Ca/Zr co-doped BaTiO3;Mar;2021;"Wang, J; Lu, ZL; (...); Ding, KN";MATERIALS EXPRESS;-;19
378;Cognitive Style and Frame Susceptibility in Decision-Making;Aug10;2018;Mandel, DR and Kapler, IV;FRONTIERS IN PSYCHOLOGY;4;95
379;Characterization of Respirable Uranium Aerosols from Various Uranium Alloys in Fire Events;Aug10;2015;Clark, DK;AEROSOL SCIENCE AND TECHNOLOGY;1;9
380;Bioaccessibility performance data for fifty-seven elements in guidance material BGS 102;Nov;2015;"Hamilton, EM; Barlow, TS; (...); Watts, MJ";MICROCHEMICAL JOURNAL;35;50
381;Cultivating credibility with probability words and numbers;Nov;2019;Collins, RN and Mandel, DR;JUDGMENT AND DECISION MAKING;8;62
382;Molecular dynamics study of small helium cluster diffusion in titanium;Dec;2011;Min, C;ACTA PHYSICA SINICA;-;20
383;Thermal boundary conductance across metal-gallium nitride interfaces from 80 to 450 K;nov-17;2014;"Donovan, BF; Szwejkowski, CJ; (...); Hopkins, PE";APPLIED PHYSICS LETTERS;33;44
384;Addiction-Related Stigma and Discrimination: A Qualitative Study in Treatment Centers in Mexico City;nov-17;2017;"Mora-Rios, J; Ortega-Ortega, M and Medina-Mora, ME";SUBSTANCE USE & MISUSE;13;32
385;Trapped Intermediate of a Meerwein-Pondorf-Verley Reduction of Hydroxy Benzaldehyde to a Dialkoxide by Titanium Alkoxides;Jan6;2020;"Boyle, TJ; Guerrero, F; (...); Wheeler, DR";INORGANIC CHEMISTRY;1;42
386;Large-Area Compton Camera for High-Speed and 3-D Imaging;Nov;2018;"Kim, YS; Kim, JH; (...); Kim, CH";IEEE TRANSACTIONS ON NUCLEAR SCIENCE;4;19
387;Angular-resolution and material-characterization measurements for a dual-particle imaging system with mixed-oxide fuel;oct-11;2015;"Poitrasson-Riviere, A; Polack, JK; (...); Peerani, P";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;13;19
388;Ferroelectric-relaxor crossover in Ba(Ti1-xZrx)O-3 studied using neutron total scattering measurements and reverse Monte Carlo modeling;jun-22;2010;"Jeong, IK; Park, CY; (...); Kim, DJ";PHYSICAL REVIEW B;41;37
389;Examination of Polish Identity Documents by Laser-Induced Breakdown Spectroscopy;jun-22;2018;"Krol, M; Kowalska, D and Koscielniak, P";ANALYTICAL LETTERS;4;19
390;Titanium-Tantalum Alloy Surface Modification by Hydroxyapatite Layer on TiO Nanotubes: Effect on Microbial Activity;jun-22;2021;"Capellato, P; Vasconcelos, LVB; (...); Claro, APRA";MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS;-;60
391;Provenance determination of sapphires and rubies using laser-induced breakdown spectroscopy and multivariate analysis;Aug-sep;2015;"Kochelek, KA; McMillan, NJ; (...); Daniel, DL";AMERICAN MINERALOGIST;22;49
392;Implementation and sustainment strategies for open visitation in the intensive care unit: A multicentre qualitative study;Feb;2021;"Milner, KA; Marmo, S and Goncalves, S";INTENSIVE AND CRITICAL CARE NURSING;5;56
393;Electro-Optically Tunable As2S3 Mach-Zehnder Interferometer on LiNbO3 Substrate;Aug15;2012;"Snider, WT; Macik, DD and Madsen, CK";IEEE PHOTONICS TECHNOLOGY LETTERS;4;12
394;Socio-Cultural Reasons and Community Perceptions Regarding Indoor Cooking Using Biomass Fuel and Traditional Stoves in Rural Ethiopia: A Qualitative Study;Sep;2018;"Tamire, M; Addissie, A; (...); Larstad, M";INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;11;33
395;Methadone maintenance treatment in China: perceived challenges from the perspectives of service providers and patients;Jun;2013;"Wu, F; Peng, CY; (...); Hser, YI";JOURNAL OF PUBLIC HEALTH;23;35
396;DPA Protected Implementation of OCB and COLM Authenticated Ciphers;Jun;2019;"Jahanbani, M; Norozi, Z and Bagheri, N";IEEE ACCESS;2;33
397;Remnants and ejecta of thermonuclear electron-capture supernovae Constraining oxygen-neon deflagrations in high-density white dwarfs;Jan30;2019;"Jones, S; Ropke, FK; (...); Belczynski, K";ASTRONOMY & ASTROPHYSICS;34;175
398;Simple Effective Conservative Treatment of Uncertainty From Sparse Samples of Random Variables and Functions;Dec;2018;"Romero, VJ; Schroeder, BB; (...); Winokur, JG";ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS PART B-MECHANICAL ENGINEERING;-;30
399;Pulse width dependence of magnetic field generation using laser-powered capacitor coils;May;2021;"Chien, A; Gao, L; (...); Nilson, P";PHYSICS OF PLASMAS;1;32
400;Agricultural extension approach: evidence from an Integrated Soil Fertility Management Project in Ethiopia;Dec;2020;"Leta, G; Schulz, S and Getachew Alemu, G";FRONTIERS OF AGRICULTURAL SCIENCE AND ENGINEERING;-;32
401;Dynamics of femto- and nanosecond laser ablation plumes investigated using optical emission spectroscopy;nov-01;2012;"Verhoff, B; Harilal, SS; (...); Hassanein, A";JOURNAL OF APPLIED PHYSICS;96;52
402;Diffusive mass transport in agglomerated glassy fallout from a near-surface nuclear test;feb-15;2018;"Weisz, DG; Jacobsen, B; (...); Matzel, JE";GEOCHIMICA ET COSMOCHIMICA ACTA;5;28
403;High-Temperature Neutron Diffraction, Raman Spectroscopy, and First-Principles Calculations of Ti3SnC2 and Ti2SnC;Jul;2016;"Bentzel, GW; Naguib, M; (...); Caspi, EN";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;9;47
404;Fabrication of Hollow Metal Microneedle Arrays Using a Molding and Electroplating Method;Jul;2019;"Miller, PR; Moorman, M; (...); Polsku, R";MRS ADVANCES;5;27
405;Rutile solubility in NaF-NaCl-KCl-bearing aqueous fluids at 0.5-2.79 GPa and 250-650 degrees C;mar-15;2016;"Tanis, EA; Simon, A; (...); Shen, GY";GEOCHIMICA ET COSMOCHIMICA ACTA;40;53
406;Qualitative Study on Participant Perceptions of a Supermarket Fruit and Vegetable Incentive Program;Aug;2021;"Riemer, S; Walkinshaw, LP; (...); Jones-Smith, JC";JOURNAL OF THE ACADEMY OF NUTRITION AND DIETETICS;4;34
